timestamp,balance,net_worth
2026-05-12 19:12:08,600.0,999.7
2026-05-12 19:13:10,600.0,999.6331537793574
2026-05-12 19:14:13,600.0,999.5730491007971
2026-05-12 19:15:15,400.0,999.3012759618188
2026-05-12 19:16:17,400.0,999.4775938219173
2026-05-12 19:17:19,400.0,999.1841597525315
2026-05-12 19:18:22,400.0,999.5822729199625
2026-05-12 19:19:23,400.0,999.6250575702398
2026-05-12 19:20:25,400.0,999.8351483978714
2026-05-12 19:21:28,400.0,999.8846144546565
2026-05-12 19:22:30,400.0,999.8102753296153
2026-05-12 19:23:32,400.0,999.9027302716538
2026-05-12 19:29:16,400.0,999.7027442031492
2026-05-12 19:30:18,599.6701089650325,999.3904894566081
2026-05-12 19:31:19,599.6701089650325,999.2748708504067
2026-05-12 19:32:21,599.6701089650325,999.5170034891045
2026-05-12 19:33:23,599.6701089650325,999.6537077673886
2026-05-12 19:34:25,599.6701089650325,999.4326608007735
2026-05-12 19:35:27,799.1805927445746,998.9571454825386
2026-05-12 19:36:28,799.1805927445746,998.8836982205025
2026-05-12 19:37:30,799.1805927445746,998.9571454825386
2026-05-12 19:38:32,799.1805927445746,999.0305927445746
2026-05-12 19:39:34,799.1805927445746,999.0305927445746
2026-05-12 19:40:36,799.1805927445746,999.0305927445746
2026-05-12 19:41:38,799.1805927445746,998.9571454825386
2026-05-12 19:46:16,799.1805927445746,998.9571454825386
2026-05-12 19:47:18,799.1805927445746,998.5899091723585
2026-05-12 19:48:20,799.1805927445746,998.6633564343945
2026-05-12 19:49:21,799.1805927445746,998.6633564343945
2026-05-12 19:50:25,799.1805927445746,998.6633564343945
2026-05-12 19:51:26,799.1805927445746,998.6633564343945
2026-05-12 19:52:28,799.1805927445746,998.7368036964306
2026-05-12 19:53:30,799.1805927445746,998.8836982205025
2026-05-12 19:54:32,799.1805927445746,998.8102509584666
2026-05-12 19:55:34,599.1805927445746,998.6602509584665
2026-05-12 19:56:35,599.1805927445746,998.6602509584665
2026-05-12 19:57:37,599.1805927445746,998.4813642113613
2026-05-12 19:58:41,599.1805927445746,998.470459885342
2026-05-12 20:03:41,598.7753448391193,998.4753448391193
2026-05-12 20:04:43,398.49382676137657,997.9703794993407
2026-05-12 20:05:45,797.6464687808912,997.4964687808912
2026-05-12 20:06:46,797.6464687808912,997.4456972185376
2026-05-12 20:07:48,797.6464687808912,997.4334420138316
2026-05-12 20:08:43,797.6464687808912,997.4019286303018
2026-05-12 20:09:45,797.6464687808912,997.4684568844202
2026-05-12 20:10:46,597.6464687808912,997.3184568844202
2026-05-12 20:11:48,597.6464687808912,997.6070776681761
